text,action,category,cleaned_text,char_count,word_count,sentiment_score
food was cold when it arrived at the table.,Revise Menu Quality,Food,food wa cold when it arrived at the table,43,9,-1
Not happy. Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation,not happy lifeguard wa on their phone the whole time,55,10,0
no water or towels available in the gym.,Update Gym Equipment,Recreation,no water or towel available in the gym,40,8,0
Not happy. Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation,not happy spa therapist wa chatting during the massage,57,9,0
Feedback: The pasta was overcooked and mushy.,Revise Menu Quality,Food,feedback the pasta wa overcooked and mushy,45,7,0
Review: Yoga mats are torn and dirty.,Update Gym Equipment,Recreation,review yoga mat are torn and dirty,37,7,-1
Review: Bartender was visibly drunk.,Disciplinary Action,Services,review bartender wa visibly drunk,36,5,0
water looked stagnant and dirty.,Pool Maintenance,Recreation,water looked stagnant and dirty,32,5,-1
Action needed: Valet scratched my car and denied it.,Disciplinary Action,Services,action needed valet scratched my car and denied it,52,9,0
Gym is too small for the number of guests. Terrible.,Update Gym Equipment,Recreation,gym is too small for the number of guest terrible,52,10,-2
Feedback: Not enough weights for a proper workout.,Update Gym Equipment,Recreation,feedback not enough weight for a proper workout,50,8,0
Curtains were dusty and triggered my allergies. Terrible.,Deep Clean & Maintenance,Rooms,curtain were dusty and triggered my allergy terrible,57,8,-1
elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation,elliptical machine make a squeaking sound,43,6,0
Not happy. The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms,not happy the furniture is worn out and chipped,49,9,0
Review: Minibar was empty and not working.,Upgrade Room Amenities,Rooms,review minibar wa empty and not working,42,7,0
Feedback: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food,feedback they lost our reservation even though we booked week ago,68,11,0
Priority check-in for members was not honored.,Review Check-in Process,Services,priority checkin for member wa not honored,46,7,0
Not happy. The presentation of the dishes was poor.,Revise Menu Quality,Food,not happy the presentation of the dish wa poor,51,9,-1
"Honestly, entertainment team was low energy and boring.",Recreation Staff Review,Recreation,honestly entertainment team wa low energy and boring,55,8,0
"Honestly, windows were dirty and hard to see through.",Deep Clean & Maintenance,Rooms,honestly window were dirty and hard to see through,53,9,-1
Review: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms,review the bathroom tile had mold in the grout,49,9,-1
Feedback: The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms,feedback the room smelled like stale cigarette smoke,54,8,0
Not happy. Misunderstanding about the room rate caused issues.,Staff Communication Training,Services,not happy misunderstanding about the room rate caused issue,62,9,0
Review: Minibar was empty and not working.,Upgrade Room Amenities,Rooms,review minibar wa empty and not working,42,7,0
Beach staff demanded tips for chairs. Terrible.,Recreation Staff Review,Recreation,beach staff demanded tip for chair terrible,47,7,-1
The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms,the furniture is worn out and chipped,38,7,0
Not happy. Not enough vegetarian or vegan options.,Revise Menu Quality,Food,not happy not enough vegetarian or vegan option,50,8,0
Review: Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food,review saw a cockroach near the kitchen entrance,50,8,0
The coffee was burnt and bitter. Terrible.,Revise Menu Quality,Food,the coffee wa burnt and bitter terrible,42,7,-1
"too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation,too much chlorine in the pool burned my eye,46,9,0
Restaurant manager was shouting at the staff.,Staff Training (Food),Food,restaurant manager wa shouting at the staff,45,7,0
Action needed: Everything tastes like frozen food reheated.,Revise Menu Quality,Food,action needed everything taste like frozen food reheated,59,8,0
Not happy. WiFi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms,not happy wifi signal is too weak to work in the room,55,12,0
Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation,lifeguard wa on their phone the whole time,44,8,0
No one told us about the construction noise.,Staff Communication Training,Services,no one told u about the construction noise,44,8,-1
Feedback: Staff member was smoking right outside the lobby door.,Disciplinary Action,Services,feedback staff member wa smoking right outside the lobby door,64,10,0
valet scratched my car and denied it.,Disciplinary Action,Services,valet scratched my car and denied it,37,7,0
"Honestly, concierge was unable to give simple directions.",Staff Communication Training,Services,honestly concierge wa unable to give simple direction,57,8,0
Feedback: Front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services,feedback front desk staff gave u wrong information about breakfast,69,10,0
Conflicting information from different staff members.,Staff Communication Training,Services,conflicting information from different staff member,53,6,0
Feedback: Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms,feedback dead bug on the windowsill,38,6,0
Review: They couldn't find my booking in the system.,Review Check-in Process,Services,review they couldnt find my booking in the system,52,9,0
Action needed: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation,action needed cable machine is stuck and dangerous,52,8,0
Feedback: The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food,feedback the hostess wa welcoming but the server were grumpy,64,10,0
Not happy. Valet scratched my car and denied it.,Disciplinary Action,Services,not happy valet scratched my car and denied it,48,9,0
Review: Bartender was visibly drunk.,Disciplinary Action,Services,review bartender wa visibly drunk,36,5,0
water looked stagnant and dirty.,Pool Maintenance,Recreation,water looked stagnant and dirty,32,5,-1
Feedback: Elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation,feedback elliptical machine make a squeaking sound,53,7,0
Not happy. Debris and leaves floating in the water.,Pool Maintenance,Recreation,not happy debris and leaf floating in the water,51,9,0
Feedback:  Filtration system was making a loud noise.,Pool Maintenance,Recreation,feedback filtration system wa making a loud noise,53,8,0
Feedback: Asked for no onions but got onions anyway.,Staff Training (Food),Food,feedback asked for no onion but got onion anyway,52,9,0
Feedback: Curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms,feedback curtain were dusty and triggered my allergy,57,8,0
Not happy. I found a hair in my food.,Inspect Kitchen Hygiene,Food,not happy i found a hair in my food,37,9,0
"Not happy. Worst dining experience ever, I expect compensation.",Compensate Guest,Food,not happy worst dining experience ever i expect compensation,63,9,-1
System crashed during check-in.,Review Check-in Process,Services,system crashed during checkin,31,4,0
Feedback: Staff member laughed at my complaint.,Disciplinary Action,Services,feedback staff member laughed at my complaint,47,7,0
"Honestly, pool was freezing cold, heater broken.",Pool Maintenance,Recreation,honestly pool wa freezing cold heater broken,48,7,-2
Flies buzzing around the room constantly. Terrible.,Pest Control Investigation,Rooms,fly buzzing around the room constantly terrible,51,7,-1
air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms,air conditioner is loud and barely cool the room,50,9,0
Not happy. Pool shower wasn't working.,Pool Maintenance,Recreation,not happy pool shower wasnt working,38,6,0
Feedback: Priority check-in for members was not honored.,Review Check-in Process,Services,feedback priority checkin for member wa not honored,56,8,0
Review: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation,review cable machine is stuck and dangerous,45,7,0
Feedback: Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms,feedback saw ant marching across the bathroom sink,53,8,0
Feedback: Asked for no onions but got onions anyway.,Staff Training (Food),Food,feedback asked for no onion but got onion anyway,52,9,0
Not happy. No one came to clear our table for 30 minutes.,Staff Training (Food),Food,not happy no one came to clear our table for minute,57,12,0
"Honestly, gym is too small for the number of guests.",Update Gym Equipment,Recreation,honestly gym is too small for the number of guest,52,10,-1
Action needed: Everything tastes like frozen food reheated.,Revise Menu Quality,Food,action needed everything taste like frozen food reheated,59,8,0
Action needed: Food was cold when it arrived at the table.,Revise Menu Quality,Food,action needed food wa cold when it arrived at the table,58,11,-1
I found a hair in my food. Terrible.,Inspect Kitchen Hygiene,Food,i found a hair in my food terrible,36,8,-1
They couldn't find my booking in the system.,Review Check-in Process,Services,they couldnt find my booking in the system,44,8,0
No one told us about the construction noise.,Staff Communication Training,Services,no one told u about the construction noise,44,8,-1
Feedback: Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation,feedback tile around the pool are broken and sharp,53,9,-1
Feedback: No one told us about the construction noise.,Staff Communication Training,Services,feedback no one told u about the construction noise,54,9,-1
Not happy. The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms,not happy the pillow are lumpy and uncomfortable,51,8,0
"Honestly, the steak was tough and flavorless.",Revise Menu Quality,Food,honestly the steak wa tough and flavorless,45,7,0
valet scratched my car and denied it.,Disciplinary Action,Services,valet scratched my car and denied it,37,7,0
Feedback: Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms,feedback saw ant marching across the bathroom sink,53,8,0
Not happy. Lizard on the ceiling.,Pest Control Investigation,Rooms,not happy lizard on the ceiling,33,6,0
Action needed: Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation,action needed tile around the pool are broken and sharp,58,10,-1
